Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Protein Powder,1,0,0,0,411,17.0,46.0,8.57,500.0,329,1129.0,19.0,7.1,200,5.7
Pumpkin,0,1,1,0,18,0.1,0.7,0.57,15.0,237,230.0,4.3,1.1,0,2.1
Tuna Salad,0,1,1,1,187,9.3,16.0,1.0,17.0,402,178.0,9.4,0.0,0,0.0
Tuna Fish,0,0,1,1,184,6.3,30.0,1.31,10.0,50,323.0,0.0,0.0,0,0.0
Peproni Pizza,0,0,1,0,298,14.0,12.0,2.14,146.0,692,199.0,30.0,1.8,0,3.2
Cheese Pizza,0,0,1,0,276,11.0,11.0,2.47,192.0,580,170.0,33.0,2.1,0,2.5
French Fries,0,1,1,0,289,14.0,3.5,0.91,17.0,357,545.0,37.0,3.9,0,0.3
Chicken Burger,0,1,1,1,292,15.0,18.0,0.62,13.0,859,315.0,20.0,1.3,0,0.0
Cheese Burger,0,1,1,0,256,12.0,13.0,2.78,92.0,660,178.0,25.0,1.4,0,0.0
Chicken Sandwich,0,1,1,1,257,12.0,15.0,1.32,92.0,605,256.0,23.0,1.2,0,5.0
Sugar Doughnuts,0,1,1,0,426,23.0,5.2,1.06,60.0,402,102.0,51.0,1.5,0,32.0
Chocolate Doughnuts,0,1,1,0,452,25.0,4.9,4.0,24.0,326,201.0,51.0,1.9,0,27.0
Pop Corn - Caramel,1,0,1,0,381,1.4,2.0,0.8,18.0,286,110.0,90.0,2.5,0,65.0
Pop Corn,1,0,1,0,429,9.5,13.0,2.28,11.0,490,241.0,73.0,14.0,0,0.5
Dosa,1,1,1,0,168,3.7,4.5,8.0,0.7,94,76.0,29.0,0.9,0,0.1
Idli,1,1,1,0,156,1.7,5.0,17.2,4.0,207,63.0,30.2,2.1,0,0.74
Poha,1,0,0,0,130,1.5,2.6,3.16,1.0,201,117.0,26.9,1.1,0,0.5
Chappati,0,1,1,0,297,7.5,11.0,3.01,93.0,409,266.0,46.0,4.9,0,2.7
Tomato,1,1,1,0,16,0.2,1.2,0.47,5.0,42,212.0,3.2,0.9,0,2.63
Yogurt,1,1,1,0,60,4.0,3.1,0.08,183.0,70,234.0,7.0,0.0,1,7.0
Brownie,1,0,0,0,407,6.2,4.4,3.81,17.0,457,51.0,84.0,2.9,0,55.0
Noodles,0,1,1,0,108,0.2,1.8,0.14,4.0,19,4.0,24.0,1.0,0,0.0
Uttapam,1,1,1,0,188,7.2,4.4,24.0,6.4,522,91.0,26.4,2.2,0,0.24
Bhaji Pav,1,0,0,0,151,2.4,9.0,37.4,3.4,438,180.0,29.3,1.0,0,1.35
Dal Makhani,0,1,1,0,109,8.5,2.1,35.2,8.3,243,366.0,6.3,1.5,0,3.29
Almonds,1,0,0,0,579,50.0,21.0,3.71,269.0,1,733.0,22.0,13.0,0,4.4
Mushrooms,1,1,1,0,22,0.3,3.1,0.5,3.0,5,318.0,3.3,1.0,7,2.0
Egg Yolk cooked,1,0,0,1,196,15.0,14.0,1.89,62.0,207,152.0,0.8,0.0,88,0.4
Sweet Potatoes cooked,1,1,0,0,76,0.1,1.4,0.72,27.0,27,230.0,18.0,2.5,0,5.7
Boiled Potatoes,1,1,1,0,87,0.1,1.9,0.31,5.0,240,379.0,20.0,2.0,0,0.9
White Rice,0,1,1,0,360,0.6,6.6,4.36,9.0,1,86.0,79.0,1.4,0,0.0
Orange juice,1,0,0,0,45,0.2,0.7,0.2,11.0,1,200.0,10.0,0.2,0,8.4
Greek yogurt plain,1,1,1,0,73,1.9,10.0,0.04,115.0,34,141.0,3.9,0.0,0,3.6
Oat Bran Cooked,1,0,0,0,40,0.9,3.2,0.88,10.0,1,92.0,11.0,2.6,0,0.0
Green Tea,1,0,0,0,1,0.0,0.2,0.02,0.0,1,0.2,0.0,0.0,0,0.0
Chia seeds,1,0,0,0,486,31.0,17.0,7.72,631.0,16,407.0,42.0,34.0,0,0.0
Cottage cheese with vegetables,0,1,1,0,95,4.2,11.0,0.1,56.0,403,86.0,3.0,0.1,0,0.4
Salmon,0,1,1,1,127,4.4,21.0,0.38,7.0,75,366.0,0.0,0.0,435,0.0
Cereals-Corn Flakes,1,0,0,0,384,0.9,5.9,19.4,2.0,571,107.0,88.0,2.7,286,7.8
Beans,0,1,1,0,31,0.2,1.8,1.03,37.0,6,211.0,7.0,2.7,0,3.3
Lentils,0,1,1,0,101,0.5,8.8,3.1,14.0,246,284.0,21.0,0.0,0,0.0
Pasta with corn homemade,0,1,1,0,126,0.7,2.6,0.25,1.0,0,31.0,28.0,4.8,0,0.0
Tea,1,0,0,0,1,0.0,0.0,0.08,2.0,1,9.0,0.2,0.0,0,0.0
Apples,1,0,0,0,52,0.2,0.3,0.12,6.0,1,107.0,14.0,24.0,0,10.0
Strawberries,1,0,0,0,32,0.3,0.7,0.41,16.0,1,153.0,7.7,2.0,0,4.9
Quninoa,1,1,0,0,120,1.9,4.4,1.49,17.0,7,172.0,21.0,2.8,0,0.9
Goat meat,0,1,1,1,109,2.3,21.0,2.83,13.0,82,385.0,57.0,0.0,0,0.0
Rabbit meat,0,1,1,1,114,2.3,22.0,3.2,12.0,50,378.0,0.0,0.0,0,0.0
Chicken Strips,0,0,1,1,295,15.0,19.0,0.72,11.0,798,334.0,22.0,1.1,0,0.3
Steak Fries,0,1,1,1,255,13.0,3.3,0.69,19.0,43,551.0,31.0,3.5,0,0.9
Mexican Rice,0,1,1,0,195,4.9,3.6,1.18,39.0,677,131.0,34.0,1.1,0,1.4
Fried Shrimp,0,0,1,1,319,20.0,14.0,1.54,47.0,1400,128.0,21.0,1.5,0,0.8
Spaghetti and meatballs,0,0,1,1,170,8.5,7.8,1.29,45.0,351,206.0,16.0,1.5,0,2.0
Macroni n Cheese ,0,1,1,0,194,12.0,6.5,57.0,145.0,375,127.0,16.0,1.1,0,2.8
Pork cooked,0,0,1,1,297,21.0,26.0,1.29,22.0,73,362.0,0.0,0.0,0,0.0
Bacon cooked,0,0,1,1,146,2.8,28.0,0.56,7.0,993,999.0,1.8,0.0,0,1.2
Nachos,1,1,1,0,350,22.0,4.3,0.75,63.0,313,362.0,35.0,3.2,0,2.2
Chicken Popcorn,0,1,1,1,351,22.0,18.0,1.42,32.0,1140,288.0,21.0,1.0,0,0.0
Turkey cooked,0,1,1,1,203,10.0,27.0,1.52,28.0,78,294.0,0.0,0.0,8,0.0
Oyster cooked,0,1,1,1,159,4.0,29.0,4.9,6.0,81,409.0,0.0,0.0,0,0.0
Beef sticks,1,0,0,1,550,50.0,22.0,3.4,68.0,1531,257.0,5.4,0.0,0,0.0
Banana Chips,1,0,0,0,519,34.0,2.3,1.25,18.0,6,536.0,58.0,7.7,0,35.0
Honey,1,0,1,0,304,0.0,0.3,0.42,6.0,4,52.0,82.0,0.2,0,82.0
Chocolate Icecream,0,0,1,0,216,11.0,3.8,0.93,109.0,76,249.0,28.0,1.2,0,25.0
Vanilla Ice cream,0,0,1,0,207,11.0,3.5,0.09,128.0,80,199.0,24.0,0.7,0,21.0
Strawberry Icecream,0,0,1,0,192,8.4,3.2,0.21,120.0,60,188.0,28.0,0.9,0,0.0
Marshmallows,0,0,1,0,318,0.2,1.8,0.23,3.0,80,5.0,81.0,0.1,0,58.0
Chocolate milk,1,0,0,0,535,30.0,7.7,2.35,189.0,79,372.0,59.0,3.4,0,52.0
Rice Pudding,0,0,1,0,376,0.1,2.7,1.79,14.0,366,5.0,91.0,0.7,0,0.0
Grapes,0,1,1,Non-Veg,476,16.4,24.9,19.15,218.7,154,401.1,46.9,17.1,22,35.7
Chicken Breast,1,1,1,Non-Veg,583,0.5,18.9,15.87,259.2,384,1109.2,95.5,14.6,43,0.6
Cheese,0,0,1,Non-Veg,500,10.1,21.8,15.8,243.7,1212,1680.8,50.1,17.4,34,36.3
Parsley,1,0,0,Non-Veg,413,5.8,32.2,19.01,371.8,735,1434.8,146.0,16.0,35,5.0
Celery,0,1,1,Veg,466,18.8,21.4,8.24,133.9,1014,308.8,9.8,6.7,33,25.1
Mushrooms,1,0,0,Veg,370,14.2,7.8,12.1,358.3,1351,621.1,23.1,2.9,18,33.9
Corn,0,0,1,Veg,402,14.0,35.3,18.11,344.9,191,173.7,144.0,18.1,32,30.8
Plum,0,0,0,Non-Veg,432,17.6,48.2,6.13,184.2,1159,283.7,80.8,18.4,30,44.5
Corn,1,0,1,Non-Veg,256,11.5,8.6,0.27,429.9,860,710.1,108.0,9.3,48,43.9
Kale,1,0,0,Non-Veg,571,7.6,14.6,9.86,397.9,591,707.5,111.8,10.3,10,6.8
Spinach,0,1,1,Veg,79,10.8,40.6,17.02,123.7,854,1864.2,50.5,8.8,17,27.0
Blueberries,1,1,1,Veg,279,6.1,39.2,5.37,219.0,1793,448.8,42.9,15.1,0,46.0
Cantaloupe,1,0,0,Veg,236,1.9,3.9,14.05,266.2,1409,1757.2,30.5,12.7,8,16.2
Coriander,0,1,1,Veg,74,18.8,19.5,14.76,287.5,1863,1729.8,37.3,10.6,21,34.1
Cloves,1,0,1,Non-Veg,530,3.1,45.3,16.28,334.3,839,968.9,55.9,5.9,46,48.1
Brussels Sprouts,1,0,1,Veg,411,11.5,25.2,14.97,343.7,1656,1651.3,16.4,17.3,30,31.6
Collard Greens,1,0,0,Veg,64,3.1,8.4,7.92,361.8,1002,1343.1,113.3,0.6,18,11.7
Yellow Bell Pepper,0,0,0,Non-Veg,485,7.0,20.7,6.7,72.7,364,354.5,115.4,16.9,29,30.2
Sage,1,0,1,Non-Veg,111,13.4,49.2,5.4,134.7,1895,388.2,128.0,15.1,47,0.0
Sweet Potato,1,0,0,Veg,230,4.9,15.5,9.33,16.7,812,465.4,55.1,4.8,12,13.0
Yellow Bell Pepper,0,0,1,Veg,295,7.3,5.8,13.62,80.4,438,1527.8,149.6,4.9,39,48.4
Quinoa,0,1,1,Veg,450,6.4,18.0,7.21,449.8,813,868.3,129.0,2.1,22,16.2
Kidney Beans,0,0,0,Veg,143,19.5,1.6,18.07,73.8,664,209.8,105.7,14.0,32,26.6
Chicken Breast,0,1,0,Non-Veg,253,11.5,25.1,13.99,399.2,304,1716.6,47.9,7.1,44,42.9
Mango,1,0,0,Non-Veg,277,13.2,39.0,2.4,378.2,531,821.0,122.6,15.9,10,34.7
Ginger,0,1,1,Non-Veg,398,7.9,30.6,13.18,460.2,592,465.8,126.3,6.2,4,28.6
Paprika,0,1,0,Non-Veg,541,2.3,20.0,5.19,89.6,309,763.8,142.1,5.6,32,21.7
Garlic,1,1,0,Non-Veg,392,3.6,13.5,18.49,466.2,1732,1079.3,118.7,16.5,49,33.5
Zucchini,1,0,0,Veg,535,7.3,6.5,15.94,153.5,1966,1224.7,9.4,15.2,0,37.9
Milk,0,0,0,Non-Veg,457,11.9,17.7,5.07,274.4,66,1015.8,65.8,9.3,10,25.5
Raspberries,1,1,1,Non-Veg,194,0.7,15.6,3.4,22.7,507,22.3,83.8,12.5,5,22.1
Broccoli,1,0,0,Non-Veg,328,3.9,25.8,9.2,136.7,1915,1332.8,2.4,2.2,31,25.4
Yellow Bell Pepper,1,0,0,Veg,483,15.4,10.3,18.17,90.3,1661,1164.0,82.2,6.5,34,18.9
Eggplant,1,0,0,Non-Veg,263,12.7,22.9,8.96,497.3,1229,130.6,144.4,2.1,46,18.4
Brown Rice,1,0,1,Veg,149,9.5,31.8,18.13,10.2,1045,1147.9,47.5,7.5,10,20.2
Yellow Bell Pepper,1,1,1,Veg,543,6.5,44.7,9.41,179.6,182,784.6,135.6,0.6,1,2.5
Mint,1,0,0,Veg,344,4.6,11.7,2.41,160.1,370,1128.4,84.7,10.2,27,39.7
Chicken Breast,1,0,1,Non-Veg,95,17.9,18.3,5.36,406.1,1906,1853.0,56.8,1.7,24,20.3
Corn,0,1,1,Veg,88,0.6,23.6,2.59,391.5,1536,436.5,80.2,18.9,49,19.8
Chili Powder,1,1,1,Veg,292,4.1,32.8,1.93,413.9,1935,359.1,82.8,9.2,18,45.7
Chili Powder,0,0,0,Veg,439,4.4,25.3,16.08,488.7,1900,1732.8,137.0,19.1,11,48.2
Coriander,1,0,1,Veg,304,6.0,6.4,4.8,172.9,1070,1803.6,71.4,18.1,43,22.8
Ginger,0,1,0,Veg,192,13.8,26.3,17.75,82.4,1405,1807.3,73.7,8.5,6,43.0
Watermelon,0,1,1,Veg,551,19.2,42.2,5.73,475.5,622,1666.8,115.5,0.9,0,23.9
Mango,0,1,1,Veg,527,13.0,12.3,1.8,467.1,1178,1238.1,133.4,2.8,7,41.5
Nutmeg,0,1,0,Veg,578,18.4,2.0,19.63,317.5,1982,1457.0,92.0,8.9,34,20.0
Turmeric,1,0,0,Non-Veg,125,13.5,44.1,13.28,497.8,1065,87.8,96.1,6.3,22,11.2
Garlic,0,0,0,Veg,474,12.0,12.5,16.92,496.3,1464,416.2,113.0,7.2,9,42.3
Cloves,1,0,0,Veg,251,9.1,39.6,3.57,284.3,774,536.7,37.8,18.1,21,16.9
Sage,0,1,0,Non-Veg,129,14.0,33.8,18.41,47.6,64,1986.9,83.1,9.3,6,47.3
Sweet Potato,0,0,0,Non-Veg,55,11.0,8.1,6.96,13.2,1557,1858.3,84.8,2.4,19,9.4
Chicken Breast,0,0,1,Veg,390,8.2,25.8,3.12,131.1,1616,481.5,13.4,12.2,24,27.6
Grapes,0,0,0,Veg,94,15.5,16.8,5.66,260.0,1698,290.2,112.1,15.9,13,9.7
Turnip,1,1,0,Veg,412,3.5,45.1,18.01,364.7,1622,896.7,146.4,13.4,39,14.9
Mustard Seeds,1,1,1,Veg,374,8.4,33.6,2.33,172.7,1758,1764.1,147.1,1.8,22,13.1
Eggs,1,1,1,Veg,309,13.7,31.4,18.14,166.3,1614,603.1,70.6,3.9,11,12.1
Turkey,1,1,1,Non-Veg,244,16.3,9.0,10.37,192.7,755,1665.0,36.7,10.6,21,49.5
Cashews,1,0,0,Non-Veg,585,15.6,48.5,14.15,183.7,1671,330.5,90.5,17.9,32,4.9
Kidney Beans,0,0,0,Non-Veg,519,14.6,7.0,16.28,335.8,1235,312.8,80.5,11.5,19,48.8
Cloves,1,0,0,Veg,122,11.2,37.1,12.74,83.5,1035,1105.9,16.8,11.1,9,4.6
Cloves,1,1,1,Non-Veg,144,8.9,47.5,16.34,171.8,239,244.6,48.3,14.0,39,45.2
Turnip,1,1,1,Non-Veg,448,18.2,22.7,17.47,307.5,1773,1991.6,61.4,1.4,40,46.4
Cantaloupe,0,1,0,Non-Veg,219,10.3,14.4,12.33,359.5,1753,651.8,64.3,8.1,3,4.8
Tomato,1,1,1,Veg,504,17.4,31.2,14.29,30.1,975,28.4,122.2,3.8,2,22.1
Cauliflower,0,0,0,Veg,513,4.4,31.4,7.87,404.6,136,761.9,128.2,7.7,14,9.2
Watermelon,0,1,0,Non-Veg,193,5.8,32.8,1.65,259.0,1740,725.8,29.6,1.6,7,35.9
Cauliflower,1,0,0,Veg,594,12.1,31.8,19.82,499.5,1344,1047.6,47.5,8.4,16,15.0
Mushrooms,0,1,0,Veg,181,12.8,2.8,18.16,390.3,1686,1086.3,38.8,10.6,49,0.1
Fenugreek,1,0,1,Non-Veg,64,9.4,7.3,6.8,40.6,128,478.9,147.2,13.6,33,37.4
Pineapple,1,0,1,Veg,317,13.1,24.7,1.18,338.3,852,1902.6,58.6,8.1,38,17.0
Broccoli,0,0,0,Veg,85,0.2,24.4,14.33,345.3,1675,1097.5,60.7,19.4,49,25.3
Chili Powder,1,1,1,Non-Veg,179,5.4,20.5,17.31,70.4,533,755.1,110.8,10.5,20,7.0
Peach,1,1,1,Non-Veg,377,11.1,38.7,16.02,240.1,29,1451.3,50.7,5.2,30,1.5
Apricot,0,1,1,Veg,501,11.6,6.1,13.06,455.0,291,40.5,26.3,2.9,36,42.2
Eggplant,0,0,0,Veg,521,5.4,25.6,12.13,254.0,1422,1410.9,147.3,8.8,31,1.9
Brown Rice,0,0,0,Non-Veg,245,19.9,12.8,6.28,125.6,829,1242.3,117.4,6.0,5,20.7
Mango,0,0,1,Non-Veg,289,1.4,27.3,13.0,447.5,1686,616.6,149.1,14.2,7,44.8
Mango,0,0,1,Veg,550,9.8,27.1,0.98,302.8,57,1224.8,77.8,14.2,49,35.7
Pineapple,0,0,1,Veg,445,8.3,0.8,13.3,214.0,1496,723.8,132.4,4.2,38,44.6
Cardamom,1,1,1,Veg,289,14.1,24.9,2.1,269.7,1206,230.0,74.4,14.0,46,34.5
Beet,0,1,1,Non-Veg,133,6.0,15.1,0.89,462.6,587,1253.7,14.6,8.0,47,45.9
Tomato,1,0,0,Veg,442,6.0,30.2,17.11,109.2,347,345.8,75.0,1.4,26,27.6
Peanut Butter,0,1,1,Veg,79,4.0,4.6,4.87,356.7,1127,1349.7,73.4,0.3,37,23.9
Rosemary,1,0,0,Veg,86,9.0,48.2,18.28,261.5,1659,932.8,70.8,12.7,21,20.6
Blueberries,1,1,1,Veg,131,16.4,40.1,7.02,404.5,715,1008.8,56.6,10.3,2,19.1
Mustard Seeds,0,0,0,Non-Veg,177,13.7,38.1,4.42,485.1,1225,270.8,32.6,3.6,32,42.0
Cashews,1,1,0,Non-Veg,365,9.5,28.9,4.92,90.2,1433,953.8,24.4,8.2,40,16.7
Peanut Butter,0,0,0,Non-Veg,414,18.9,17.2,19.09,338.6,1341,1323.8,22.0,9.2,11,48.6
Beef Steak,0,0,0,Veg,511,17.8,32.9,7.18,420.9,712,1941.7,90.3,19.8,44,8.5
Celery,1,0,0,Veg,263,11.3,46.1,13.98,21.2,595,78.0,130.3,8.8,1,15.4
Lentils,1,0,1,Non-Veg,112,16.2,46.2,17.97,28.2,235,1401.7,11.7,9.0,3,9.7
Parsnip,1,1,1,Non-Veg,559,1.9,27.6,16.89,85.2,1759,433.5,138.1,14.2,22,8.8
Eggs,0,0,0,Non-Veg,546,18.3,45.9,10.95,468.7,444,440.1,78.8,4.2,48,5.0
Avocado,0,1,0,Non-Veg,305,18.1,33.1,19.98,274.1,825,1477.6,140.8,0.7,3,48.0
Avocado,1,1,1,Veg,431,8.5,24.5,17.38,460.0,756,678.3,62.7,14.8,23,25.1
Parsnip,1,0,1,Veg,525,19.1,48.6,12.96,20.1,1675,919.1,107.3,6.4,2,25.2
Nutmeg,0,0,0,Veg,216,3.2,23.1,9.6,289.3,742,1852.1,92.1,18.9,42,39.4
Yogurt,0,0,0,Non-Veg,187,5.4,47.0,17.64,275.8,555,27.5,75.3,5.4,48,11.4
Pumpkin,0,1,1,Non-Veg,298,14.7,11.6,0.67,93.5,132,524.6,73.7,5.9,39,28.8
Cucumber,1,1,1,Veg,508,17.9,18.3,15.4,236.4,1090,450.4,73.3,18.4,43,13.4
Zucchini,0,1,0,Non-Veg,131,4.2,36.1,5.61,376.4,24,241.6,149.4,12.3,28,26.5
Pineapple,0,1,1,Non-Veg,367,18.9,20.0,14.64,120.5,883,1671.8,2.3,8.9,9,21.6
Fennel Seeds,1,0,1,Non-Veg,270,14.6,14.8,11.14,310.4,1527,544.8,81.3,0.4,40,21.1
Parsley,0,0,1,Non-Veg,59,18.7,15.2,8.89,44.2,1800,1940.7,11.5,10.0,34,2.9
Brussels Sprouts,0,0,0,Veg,119,7.7,7.9,3.57,320.2,1360,1025.0,143.3,1.5,24,43.5
Paprika,1,1,1,Veg,509,16.0,3.6,13.13,146.9,601,1396.4,14.7,16.2,7,30.1
Beet,0,0,0,Non-Veg,69,9.4,45.0,5.89,374.6,506,212.6,21.8,18.8,37,31.5
Paprika,1,0,0,Veg,379,18.9,30.8,17.92,174.4,1276,1421.6,109.2,2.4,28,46.8
Walnuts,0,1,0,Non-Veg,95,3.2,25.3,12.31,464.7,1996,477.6,80.2,12.3,0,40.2
Strawberries,1,1,0,Non-Veg,479,19.0,35.1,14.22,254.6,344,1533.4,57.1,19.0,12,49.2
Cinnamon,1,0,0,Non-Veg,449,8.2,44.6,15.82,197.2,1185,1893.5,116.6,14.8,30,10.5
Cheese,0,1,0,Non-Veg,598,19.3,16.8,5.03,351.5,265,771.0,6.1,7.9,0,26.4
Cinnamon,0,0,0,Veg,130,0.7,25.2,7.05,40.6,48,1091.1,36.1,18.4,27,21.3
Fenugreek,0,0,1,Veg,383,16.5,2.8,8.45,385.0,1431,677.2,41.2,10.3,7,3.6
Kidney Beans,1,0,1,Veg,473,12.8,39.1,18.98,497.3,1625,78.5,119.4,6.8,12,35.7
Collard Greens,1,1,0,Non-Veg,300,18.0,4.0,3.93,239.6,792,167.4,7.6,3.4,8,36.0
Basil,1,1,1,Non-Veg,354,2.6,21.3,7.71,50.7,1420,900.9,69.2,2.0,43,8.2
Mint,0,1,1,Veg,353,14.4,36.0,4.35,410.1,221,1999.4,21.6,12.5,5,34.4
Green Beans,1,1,0,Non-Veg,545,18.8,22.3,13.85,161.4,1983,1781.5,130.5,1.6,49,2.4
Brussels Sprouts,0,1,0,Veg,596,18.4,23.8,16.35,182.4,805,552.8,148.0,8.6,18,30.9
Turmeric,0,0,1,Non-Veg,589,4.0,43.5,8.11,289.7,154,1906.9,91.6,13.1,41,19.0
Cilantro,1,0,1,Non-Veg,426,10.3,19.7,14.11,491.4,1773,527.0,139.4,8.0,21,24.1
Turkey,1,1,1,Non-Veg,323,17.9,49.0,3.06,220.2,1034,1817.7,58.7,17.6,15,14.1
Sage,1,0,1,Veg,87,16.6,35.8,3.33,237.8,41,358.4,118.8,15.2,14,18.5
Mango,0,1,1,Veg,229,13.3,39.1,18.97,61.8,426,1864.6,96.2,14.5,35,40.8
Apricot,0,1,0,Veg,494,8.6,8.6,9.45,279.1,645,459.9,75.2,2.9,13,49.1
Oatmeal,0,1,1,Veg,372,13.5,31.8,2.88,362.5,602,243.0,56.4,18.8,36,17.3
Almonds,0,1,0,Veg,341,6.9,11.9,0.48,302.7,1450,1149.4,40.1,1.8,36,13.9
Red Bell Pepper,1,1,1,Veg,209,13.8,11.0,19.8,102.4,1742,530.5,12.6,10.2,27,35.9
Apricot,0,1,0,Non-Veg,59,14.9,45.6,9.89,302.1,1773,264.2,148.7,5.2,5,48.8
Tomato,0,0,1,Non-Veg,206,0.3,11.4,12.25,52.5,1685,832.1,98.7,11.2,21,37.6
Mint,0,1,0,Veg,552,14.3,33.8,5.49,27.4,28,1888.1,5.3,2.7,19,35.2
Collard Greens,0,1,1,Non-Veg,314,4.3,8.4,16.6,84.3,235,1849.5,52.1,15.6,43,21.0
Pineapple,1,0,0,Non-Veg,374,7.5,49.8,13.03,388.9,640,58.6,133.7,15.3,1,37.8
Almonds,0,0,0,Non-Veg,180,8.7,3.7,2.09,465.6,1095,1282.3,110.7,3.9,21,28.6
Nutmeg,1,0,1,Non-Veg,161,19.7,13.9,8.85,79.7,891,1120.1,26.4,10.3,19,7.1
Pork Chop,0,1,1,Non-Veg,533,0.2,41.0,8.49,351.0,1765,1440.5,59.9,9.2,4,0.9
Pear,0,0,1,Non-Veg,396,15.5,36.0,1.7,372.6,1063,747.3,50.5,3.8,4,45.7
Pumpkin,1,1,1,Non-Veg,380,17.3,43.8,13.15,380.9,1596,932.5,132.8,16.6,24,24.4
Kiwi,1,1,1,Veg,377,4.9,31.9,2.1,270.9,866,385.8,23.6,16.1,41,29.2
Apricot,1,0,0,Veg,358,5.1,31.7,0.4,408.5,1513,1405.1,29.8,19.7,18,45.4
Yellow Bell Pepper,0,1,1,Veg,62,17.0,26.9,0.64,343.2,931,1659.9,6.2,0.4,36,4.1
Brown Rice,0,0,0,Non-Veg,57,12.9,23.1,14.26,306.9,617,286.0,39.4,3.3,31,16.3
Vanilla,0,1,1,Veg,245,17.9,20.2,12.6,240.4,1070,493.8,55.3,9.1,49,41.5
Mango,0,0,1,Non-Veg,339,10.3,35.2,4.86,41.5,808,1076.5,126.9,0.3,17,14.5
Nutmeg,1,1,1,Veg,587,4.7,15.1,19.09,276.9,855,823.9,77.1,5.5,14,20.3
Brussels Sprouts,0,0,1,Non-Veg,145,17.6,19.8,3.47,284.2,1252,573.8,33.3,9.7,28,21.4
Tofu,1,0,0,Veg,467,8.7,24.4,16.79,139.6,24,963.0,69.0,9.9,7,15.7
Red Bell Pepper,1,1,0,Non-Veg,333,5.7,11.2,12.6,475.3,689,184.5,125.7,3.1,41,43.5
Quinoa,0,1,0,Non-Veg,392,4.4,30.3,2.6,382.6,767,716.0,135.6,14.0,18,29.8
Parsley,1,0,1,Veg,149,17.1,33.6,3.73,90.5,1133,892.3,118.1,15.0,10,3.7
Sage,0,0,1,Veg,159,13.0,1.3,16.58,477.6,1930,170.8,66.0,1.5,34,33.0
Radish,1,0,0,Veg,70,14.4,9.8,2.01,469.4,162,1817.9,70.5,4.9,45,5.0
Salmon,1,1,0,Non-Veg,432,11.8,21.7,17.47,168.4,1958,266.9,110.7,10.1,37,40.5
Apple,1,1,1,Non-Veg,333,19.5,31.8,6.69,416.9,1979,1111.7,109.1,8.8,23,32.5
Mint,0,0,1,Non-Veg,70,1.1,30.4,15.01,44.9,337,1499.6,16.3,6.9,14,43.8
Turnip,0,1,0,Veg,343,11.8,4.7,11.79,270.0,346,112.3,139.4,3.3,6,45.8
Beef Steak,0,1,0,Non-Veg,457,17.8,10.5,1.36,147.5,1427,70.3,83.9,7.6,42,45.2
Yellow Bell Pepper,1,0,0,Veg,113,2.1,21.0,4.98,46.4,443,1215.4,3.2,16.0,46,11.8
Onion,1,1,0,Veg,599,14.4,44.4,18.79,200.2,483,541.2,115.8,12.4,0,37.0
